"id","country_id:id","name","code"
state_tr_01,base.tr,"Adana","TR-01"
state_tr_02,base.tr,"Adıyaman","TR-02"
state_tr_03,base.tr,"Afyonkarahisar","TR-03"
state_tr_04,base.tr,"Ağrı","TR-04"
state_tr_05,base.tr,"Amasya","TR-05"
state_tr_06,base.tr,"Ankara","TR-06"
state_tr_07,base.tr,"Antalya","TR-07"
state_tr_08,base.tr,"Artvin","TR-08"
state_tr_09,base.tr,"Aydın","TR-09"
state_tr_10,base.tr,"Balıkesir","TR-10"
state_tr_11,base.tr,"Bilecik","TR-11"
state_tr_12,base.tr,"Bingöl","TR-12"
state_tr_13,base.tr,"Bitlis","TR-13"
state_tr_14,base.tr,"Bolu","TR-14"
state_tr_15,base.tr,"Burdur","TR-15"
state_tr_16,base.tr,"Bursa","TR-16"
state_tr_17,base.tr,"Çanakkale","TR-17"
state_tr_18,base.tr,"Çankırı","TR-18"
state_tr_19,base.tr,"Çorum","TR-19"
state_tr_20,base.tr,"Denizli","TR-20"
state_tr_21,base.tr,"Diyarbakır","TR-21"
state_tr_22,base.tr,"Edirne","TR-22"
state_tr_23,base.tr,"Elazığ","TR-23"
state_tr_24,base.tr,"Erzincan","TR-24"
state_tr_25,base.tr,"Erzurum","TR-25"
state_tr_26,base.tr,"Eskişehir","TR-26"
state_tr_27,base.tr,"Gaziantep","TR-27"
state_tr_28,base.tr,"Giresun","TR-28"
state_tr_29,base.tr,"Gümüşhane","TR-29"
state_tr_30,base.tr,"Hakkari","TR-30"
state_tr_31,base.tr,"Hatay","TR-31"
state_tr_32,base.tr,"Isparta","TR-32"
state_tr_33,base.tr,"Mersin","TR-33"
state_tr_34,base.tr,"İstanbul","TR-34"
state_tr_35,base.tr,"İzmir","TR-35"
state_tr_36,base.tr,"Kars","TR-36"
state_tr_37,base.tr,"Kastamonu","TR-37"
state_tr_38,base.tr,"Kayseri","TR-38"
state_tr_39,base.tr,"Kırklareli","TR-39"
state_tr_40,base.tr,"Kırşehir","TR-40"
state_tr_41,base.tr,"Kocaeli","TR-41"
state_tr_42,base.tr,"Konya","TR-42"
state_tr_43,base.tr,"Kütahya","TR-43"
state_tr_44,base.tr,"Malatya","TR-44"
state_tr_45,base.tr,"Manisa","TR-45"
state_tr_46,base.tr,"Kahramanmaraş","TR-46"
state_tr_47,base.tr,"Mardin","TR-47"
state_tr_48,base.tr,"Muğla","TR-48"
state_tr_49,base.tr,"Muş","TR-49"
state_tr_50,base.tr,"Nevşehir","TR-50"
state_tr_51,base.tr,"Niğde","TR-51"
state_tr_52,base.tr,"Ordu","TR-52"
state_tr_53,base.tr,"Rize","TR-53"
state_tr_54,base.tr,"Sakarya","TR-54"
state_tr_55,base.tr,"Samsun","TR-55"
state_tr_56,base.tr,"Siirt","TR-56"
state_tr_57,base.tr,"Sinop","TR-57"
state_tr_58,base.tr,"Sivas","TR-58"
state_tr_59,base.tr,"Tekirdağ","TR-59"
state_tr_60,base.tr,"Tokat","TR-60"
state_tr_61,base.tr,"Trabzon","TR-61"
state_tr_62,base.tr,"Tunceli","TR-62"
state_tr_63,base.tr,"Şanlıurfa","TR-63"
state_tr_64,base.tr,"Uşak","TR-64"
state_tr_65,base.tr,"Van","TR-65"
state_tr_66,base.tr,"Yozgat","TR-66"
state_tr_67,base.tr,"Zonguldak","TR-67"
state_tr_68,base.tr,"Aksaray","TR-68"
state_tr_69,base.tr,"Bayburt","TR-69"
state_tr_70,base.tr,"Karaman","TR-70"
state_tr_71,base.tr,"Kırıkkale","TR-71"
state_tr_72,base.tr,"Batman","TR-72"
state_tr_73,base.tr,"Şırnak","TR-73"
state_tr_74,base.tr,"Bartın","TR-74"
state_tr_75,base.tr,"Ardahan","TR-75"
state_tr_76,base.tr,"Iğdır","TR-76"
state_tr_77,base.tr,"Yalova","TR-77"
state_tr_78,base.tr,"Karabük","TR-78"
state_tr_79,base.tr,"Kilis","TR-79"
state_tr_80,base.tr,"Osmaniye","TR-80"
state_tr_81,base.tr,"Düzce","TR-81"
